계정항목,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1,2024/Q2,2024/Q3,2024/Q4
    1차금속 제조업,"7,381.6 ","7,525.6 ","7,487.1 ","7,519.4 ","7,630.4 ","7,663.9 ","7,711.7 ","7,527.4 ","7,401.1 ","7,330.1 ","7,261.8 ","7,571.1 ","7,488.7 ","7,392.8 ","7,485.5 ","7,588.8 ","7,541.9 ","6,647.2 ","7,346.1 ","7,568.1 ","7,323.2 ","7,032.9 ","6,835.1 ","6,389.8 ","6,033.6 ","5,944.1 ","5,369.5 ","5,363.2 ","5,758.8 ","5,878.5 ","5,484.7 ","5,723.3 ","5,836.4 ","5,629.5 ","5,410.5 ","5,780.7 "
    금속가공제품 제조업,"9,485.1 ","9,812.3 ","9,570.4 ","9,531.4 ","10,020.9 ","9,257.7 ","9,822.9 ","9,420.2 ","9,323.8 ","9,299.6 ","9,582.5 ","9,832.6 ","9,445.6 ","9,667.5 ","9,281.7 ","9,321.5 ","9,472.8 ","8,751.0 ","8,632.3 ","8,588.6 ","8,368.5 ","7,679.6 ","7,352.1 ","7,288.1 ","6,930.2 ","6,756.2 ","6,663.5 ","6,491.1 ","6,739.1 ","6,857.6 ","6,741.4 ","6,372.1 ","6,650.2 ","6,716.8 ","6,926.8 ","6,349.9 "
"    컴퓨터, 전자 및 광학기기 제조업","28,032.3 ","28,362.4 ","27,869.0 ","29,007.7 ","29,273.4 ","29,898.7 ","30,472.4 ","31,358.2 ","32,612.0 ","33,769.0 ","35,371.5 ","33,903.5 ","33,699.9 ","35,213.9 ","37,107.4 ","36,214.6 ","37,605.5 ","35,459.5 ","37,317.8 ","39,625.1 ","40,910.0 ","42,403.1 ","42,000.4 ","43,959.7 ","45,368.3 ","45,864.6 ","45,461.9 ","43,400.5 ","43,295.5 ","46,305.6 ","49,007.2 ","51,093.5 ","51,534.0 ","52,078.9 ","52,228.3 ","53,914.6 "
    전기장비 제조업,"6,647.9 ","6,572.1 ","6,739.3 ","6,762.6 ","7,325.3 ","7,308.8 ","7,692.1 ","7,455.3 ","7,747.7 ","7,739.1 ","7,854.0 ","8,229.9 ","7,852.1 ","8,143.0 ","7,930.3 ","8,044.9 ","7,758.7 ","7,545.0 ","8,014.6 ","8,556.3 ","8,824.3 ","8,813.3 ","8,624.2 ","8,858.4 ","9,317.5 ","9,411.2 ","9,288.3 ","8,946.8 ","9,074.8 ","9,145.5 ","9,748.0 ","9,021.6 ","8,971.9 ","8,675.1 ","9,032.7 ","8,631.0 "
    기계 및 장비 제조업,"9,964.0 ","10,136.9 ","10,464.3 ","11,152.3 ","12,142.8 ","12,880.9 ","12,629.7 ","12,329.6 ","12,717.1 ","12,515.3 ","12,524.0 ","12,270.6 ","12,558.7 ","12,235.0 ","12,061.4 ","12,647.3 ","12,634.8 ","11,751.8 ","12,168.7 ","12,739.7 ","13,343.1 ","13,898.0 ","13,973.0 ","13,995.3 ","14,320.2 ","14,310.3 ","15,072.5 ","15,022.4 ","14,198.7 ","13,676.9 ","13,981.9 ","14,516.8 ","14,324.4 ","14,144.5 ","14,473.9 ","14,563.7 "
    운송장비 제조업,"17,226.8 ","17,900.4 ","16,941.8 ","17,080.5 ","16,784.5 ","16,343.5 ","16,273.1 ","15,096.1 ","15,324.5 ","16,064.2 ","15,688.7 ","16,859.0 ","15,811.5 ","16,409.7 ","15,753.1 ","16,460.1 ","14,953.3 ","12,928.9 ","14,460.7 ","15,435.8 ","15,698.8 ","15,630.7 ","14,788.5 ","15,258.6 ","16,386.8 ","16,172.6 ","18,410.6 ","17,171.7 ","18,387.0 ","18,899.5 ","19,713.7 ","18,249.6 ","18,613.3 ","19,340.1 ","19,894.4 ","18,894.9 "
    기타 제조업 및 산업용 장비 수리업,"3,139.3 ","3,083.3 ","3,078.3 ","3,288.4 ","3,436.8 ","3,461.8 ","3,449.6 ","3,471.3 ","3,544.8 ","3,641.3 ","3,568.8 ","3,536.1 ","3,355.9 ","3,236.7 ","3,135.4 ","3,169.9 ","3,285.8 ","3,179.9 ","3,075.0 ","3,110.2 ","3,287.7 ","3,164.0 ","3,115.7 ","3,038.2 ","3,042.8 ","3,076.2 ","3,070.7 ","2,996.7 ","2,852.3 ","2,780.8 ","2,939.9 ","2,960.1 ","3,105.2 ","2,863.8 ","2,952.3 ","2,832.2 "
"전기, 가스 및 수도사업","10,007.2 ","9,814.1 ","9,958.9 ","10,015.9 ","10,344.5 ","10,461.7 ","10,674.8 ","10,570.9 ","10,052.6 ","10,277.6 ","10,503.9 ","10,704.2 ","10,685.7 ","11,421.8 ","10,269.5 ","10,751.8 ","11,486.9 ","11,442.5 ","11,206.6 ","11,469.2 ","11,651.3 ","11,549.2 ","11,595.9 ","11,606.7 ","11,895.4 ","12,138.1 ","11,999.0 ","11,987.9 ","11,173.1 ","11,519.4 ","11,872.8 ","12,083.5 ","12,071.6 ","11,956.8 ","12,658.8 ","11,925.6 "
  전기업,"5,261.2 ","5,069.7 ","5,174.3 ","5,269.1 ","5,430.4 ","5,612.1 ","5,726.0 ","5,684.0 ","5,085.2 ","5,316.4 ","5,607.5 ","5,824.1 ","5,838.1 ","6,442.4 ","5,318.5 ","5,684.1 ","6,499.7 ","6,670.0 ","6,397.9 ","6,389.7 ","6,567.4 ","6,378.6 ","6,505.6 ","6,624.4 ","6,942.6 ","7,154.7 ","7,310.2 ","7,134.9 ","7,412.8 ","7,080.2 ","6,854.2 ","7,806.5 ","7,475.5 ","7,601.3 ","7,896.0 ","8,377.9 "
"  가스, 증기 및 공기조절 공급업","1,388.6 ","1,344.5 ","1,435.0 ","1,440.2 ","1,576.3 ","1,519.5 ","1,599.7 ","1,664.9 ","1,647.5 ","1,600.2 ","1,527.8 ","1,504.9 ","1,540.0 ","1,595.6 ","1,501.8 ","1,534.1 ","1,502.6 ","1,418.1 ","1,428.3 ","1,580.3 ","1,655.0 ","1,700.7 ","1,626.6 ","1,542.6 ","1,591.1 ","1,587.6 ","1,536.5 ","1,531.2 ","1,350.3 ","1,366.7 ","1,548.3 ","1,641.5 ","1,472.1 ","1,492.6 ","1,673.1 ","1,370.5 "
