계정항목,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1,2024/Q2,2024/Q3,2024/Q4
    1차금속 제조업,"7,289.3 ","8,183.4 ","7,871.7 ","7,896.9 ","8,353.1 ","7,861.6 ","8,514.1 ","8,526.0 ","8,113.0 ","7,987.3 ","8,409.3 ","8,809.1 ","8,385.8 ","8,151.6 ","8,008.1 ","7,597.4 ","7,477.8 ","6,836.3 ","7,134.7 ","7,654.5 ","8,207.0 ","10,119.1 ","11,817.0 ","12,408.7 ","12,446.9 ","11,369.2 ","9,831.3 ","8,297.6 ","9,856.9 ","9,540.2 ","9,225.1 ","8,998.7 ","9,558.5 ","8,828.6 ","8,005.5 ","8,526.0 "
    금속가공제품 제조업,"9,250.2 ","9,130.7 ","9,146.5 ","9,182.5 ","9,524.0 ","9,178.0 ","9,550.0 ","8,925.0 ","8,710.4 ","8,857.4 ","9,090.9 ","9,481.2 ","9,075.1 ","9,287.2 ","9,058.8 ","9,577.4 ","9,128.7 ","8,349.4 ","8,942.9 ","9,023.7 ","9,144.0 ","9,394.5 ","9,806.6 ","9,627.6 ","9,850.7 ","10,038.8 ","10,310.2 ","11,394.1 ","10,330.3 ","10,776.9 ","10,851.7 ","11,397.7 ","10,569.7 ","11,711.0 ","12,262.2 ","12,198.7 "
"    컴퓨터, 전자 및 광학기기 제조업","31,294.1 ","30,819.6 ","28,723.3 ","33,679.3 ","36,484.6 ","37,672.4 ","38,599.2 ","40,029.8 ","40,806.4 ","42,714.3 ","44,430.3 ","39,090.8 ","37,777.9 ","37,296.8 ","36,706.9 ","34,473.8 ","37,368.3 ","37,323.9 ","37,795.3 ","37,520.3 ","38,694.5 ","41,122.2 ","44,961.8 ","44,494.5 ","45,046.4 ","44,573.0 ","41,835.5 ","38,669.2 ","32,646.8 ","34,254.2 ","34,804.5 ","39,437.1 ","43,544.5 ","47,004.5 ","46,046.1 ","48,893.5 "
    전기장비 제조업,"6,536.3 ","6,518.2 ","6,457.3 ","6,469.2 ","6,948.1 ","6,995.6 ","7,357.9 ","6,495.1 ","7,098.4 ","7,075.7 ","7,491.9 ","7,832.4 ","7,511.8 ","7,827.0 ","7,852.5 ","7,626.4 ","7,624.1 ","7,821.2 ","8,108.1 ","8,321.1 ","8,321.6 ","8,222.8 ","8,076.6 ","8,470.6 ","8,899.8 ","8,786.5 ","9,335.8 ","9,627.5 ","9,696.5 ","10,001.0 ","10,781.2 ","11,003.4 ","11,089.8 ","10,949.8 ","10,808.2 ","11,069.2 "
    기계 및 장비 제조업,"10,015.3 ","9,974.3 ","10,251.4 ","11,036.4 ","11,632.8 ","12,438.4 ","12,537.9 ","11,375.0 ","11,835.7 ","11,746.6 ","12,078.5 ","11,970.8 ","11,933.6 ","12,060.6 ","12,095.5 ","12,757.0 ","12,374.1 ","12,051.3 ","12,310.2 ","12,559.5 ","12,693.8 ","12,285.9 ","12,285.4 ","12,058.7 ","12,893.7 ","12,382.7 ","13,790.5 ","13,997.8 ","13,486.7 ","13,401.9 ","13,809.3 ","14,256.0 ","14,800.0 ","15,003.3 ","15,008.3 ","15,410.8 "
    운송장비 제조업,"17,303.2 ","16,976.3 ","15,967.8 ","16,534.0 ","15,807.2 ","15,132.7 ","15,955.7 ","13,904.2 ","13,958.6 ","14,492.2 ","14,759.2 ","15,904.6 ","14,987.7 ","15,873.0 ","15,503.5 ","16,021.5 ","14,509.0 ","13,289.5 ","14,532.7 ","15,447.4 ","15,275.8 ","14,119.4 ","12,696.2 ","12,426.1 ","14,104.4 ","14,601.3 ","17,822.2 ","16,799.1 ","17,608.1 ","19,903.2 ","20,393.3 ","19,686.8 ","19,495.0 ","23,281.0 ","23,070.1 ","24,045.8 "
    기타 제조업 및 산업용 장비 수리업,"2,636.3 ","2,584.4 ","2,634.9 ","2,771.0 ","2,850.1 ","2,858.6 ","2,928.9 ","3,009.0 ","3,156.6 ","3,220.9 ","3,329.2 ","3,289.8 ","3,111.4 ","3,079.5 ","3,086.2 ","3,264.0 ","3,136.7 ","3,140.7 ","3,157.5 ","3,215.9 ","3,264.6 ","3,060.2 ","2,959.7 ","2,962.1 ","2,921.1 ","3,028.4 ","3,167.1 ","3,328.8 ","3,390.4 ","3,301.4 ","3,629.8 ","3,546.7 ","3,563.0 ","3,879.0 ","4,067.3 ","3,661.5 "
"전기, 가스 및 수도사업","11,705.7 ","12,024.5 ","11,808.8 ","11,171.1 ","10,545.4 ","10,402.6 ","10,293.8 ","10,573.8 ","9,538.8 ","9,000.5 ","9,208.4 ","9,051.5 ","9,499.7 ","9,733.5 ","9,135.9 ","9,782.3 ","11,402.3 ","10,781.6 ","11,311.9 ","12,109.4 ","11,462.2 ","10,485.6 ","8,574.6 ","7,057.0 ","4,790.5 ","4,981.4 ","2,596.3 ","4,125.5 ","7,680.8 ","9,683.9 ","11,920.4 ","13,253.6 ","15,397.4 ","15,792.6 ","13,714.8 ","15,726.4 "
  전기업,"7,840.1 ","7,755.1 ","7,586.6 ","6,974.1 ","6,474.7 ","6,254.8 ","6,040.9 ","5,938.0 ","5,105.6 ","4,840.5 ","4,800.3 ","4,358.1 ","4,590.0 ","5,110.5 ","5,054.8 ","4,901.9 ","6,112.9 ","5,908.5 ","6,736.0 ","7,200.0 ","6,472.1 ","5,267.3 ","3,685.9 ","2,147.2 ","-1,254.0 ",-189.7 ,"-2,155.5 ","-1,273.7 ","1,880.8 ","4,647.1 ","6,487.2 ","8,517.4 ","10,816.4 ","11,138.6 ","8,817.1 ","11,457.8 "
"  가스, 증기 및 공기조절 공급업","1,377.9 ","1,512.1 ","1,559.7 ","1,519.0 ","1,481.3 ","1,620.5 ","1,583.0 ","1,735.7 ","1,486.6 ","1,187.7 ","1,364.4 ","1,711.0 ","1,872.1 ","1,671.5 ",612.3 ,"1,558.6 ","1,777.3 ","1,554.0 ","1,200.5 ","1,397.5 ","1,431.6 ","1,720.1 ","1,425.9 ","1,321.3 ","1,770.0 ","1,566.5 ","1,573.3 ","1,849.7 ","1,801.1 ","1,674.4 ","1,549.9 ","1,581.7 ","1,423.7 ","1,981.1 ","1,675.5 ","1,666.5 "
"  수도, 하수 및 폐기물 처리, 원료 재생업","2,487.7 ","2,757.2 ","2,662.5 ","2,678.0 ","2,589.3 ","2,527.4 ","2,669.8 ","2,900.1 ","2,946.6 ","2,972.3 ","3,043.7 ","2,982.4 ","3,037.5 ","2,951.5 ","3,468.8 ","3,321.8 ","3,512.1 ","3,319.2 ","3,375.4 ","3,511.9 ","3,558.5 ","3,498.3 ","3,462.8 ","3,588.5 ","4,274.5 ","3,604.6 ","3,178.5 ","3,549.5 ","3,998.8 ","3,362.5 ","3,883.3 ","3,154.5 ","3,157.2 ","2,673.0 ","3,222.2 ","2,602.1 "
건설업,"22,218.8 ","22,421.7 ","23,486.1 ","24,330.3 ","25,343.0 ","25,373.5 ","26,154.7 ","26,055.4 ","26,628.8 ","26,519.0 ","26,381.2 ","26,366.6 ","26,030.8 ","27,210.6 ","27,333.7 ","27,869.7 ","27,657.9 ","27,783.2 ","27,459.0 ","27,355.4 ","27,714.3 ","28,292.0 ","28,611.3 ","29,371.8 ","29,111.8 ","29,756.1 ","30,903.7 ","31,667.8 ","32,211.9 ","32,341.0 ","33,760.0 ","32,180.7 ","33,983.2 ","32,861.6 ","32,407.4 ","30,680.3 "
  건물건설 및 건축보수업,"15,285.4 ","15,835.1 ","16,397.7 ","17,431.2 ","18,417.3 ","18,542.2 ","19,255.9 ","19,234.0 ","19,566.3 ","19,696.8 ","19,543.0 ","19,659.1 ","19,188.9 ","19,440.9 ","19,426.6 ","19,588.1 ","19,297.9 ","19,302.9 ","19,573.9 ","19,516.0 ","19,566.9 ","20,154.6 ","20,901.5 ","21,407.9 ","21,386.9 ","22,039.6 ","23,212.7 ","23,661.1 ","24,172.4 ","24,462.6 ","25,518.9 ","23,972.3 ","24,961.5 ","24,288.0 ","23,697.1 ","22,571.0 "
