차종,차량 유형,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Sonata (DN8),승용차,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2556.0,1924.0,5311.0,4317.0,2118.0,1883.0,3355.0,1527.0,2274.0,1071.0,582.0,101.0,286.0,278.0,423.0,1565.0,987.0,1071.0,852.0,2693.0,2279.0,3983.0,3082.0,2496.0,2914.0,1608.0,1189.0,4592.0,2360.0,3598.0,731.0,2389.0,4320.0,5945.0,7179.0,4726.0,9696.0,8810.0,9016.0,6574.0,6312.0,6407.0,3376.0,3555.0,3890.0,3482.0,3756.0,2425.0,4104.0,2344.0,3329.0,5038.0,7335.0,6791.0,2284.0,3867.0,7148.0,8358.0,8168.0,8217.0,6193.0,4723.0,5762.0,6408.0,4521.0,7021.0,5386.0,6307.0
Sonata (DN8 HEV),승용차,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,152.0,753.0,722.0,989.0,868.0,1598.0,1229.0,1192.0,1809.0,1210.0,1477.0,1271.0,713.0,922.0,2118.0,831.0,556.0,1080.0,830.0,814.0,828.0,874.0,703.0,229.0,582.0,736.0,789.0,533.0,624.0,968.0,998.0,994.0,550.0,1432.0,1191.0,1292.0,1029.0,1834.0,1687.0,1408.0,1099.0,1316.0,1383.0,1334.0,1846.0,1732.0,1097.0,935.0,736.0,2902.0,2584.0,2975.0,2390.0,2014.0,2378.0,1980.0,1373.0,1025.0,1577.0,1770.0,2279.0
Grandeur (HG),승용차,수출,115.0,526.0,844.0,516.0,552.0,495.0,532.0,472.0,610.0,655.0,804.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,546.0,509.0,306.0,509.0,160.0,304.0,90.0,31.0,183.0,101.0,15.0,175.0,223.0,213.0,50.0,380.0,429.0,467.0,272.0,523.0,396.0,385.0,277.0,242.0
Grandeur (HEV),승용차,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,11.0,108.0,3.0,88.0,226.0,78.0,11.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0
IONIQ 6 (CE),승용차,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3818.0,4931.0,6261.0,3275.0,3728.0,5913.0,4065.0,3217.0,3272.0,2800.0,2572.0,1688.0,483.0,585.0,2208.0,2209.0,3292.0,2406.0,2834.0,2370.0,2719.0,814.0,1461.0,1596.0,682.0,806.0
G70,승용차,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1959.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,11.0,0.0,2.0,20.0,653.0,40.0,389.0,467.0,253.0,926.0,1901.0,1192.0,1584.0,1783.0,2773.0,369.0,2122.0,1195.0,306.0,1379.0,888.0,1020.0,1667.0,1103.0,373.0,1301.0,519.0,712.0,743.0,885.0,87.0,1269.0,281.0,83.0,67.0,993.0,859.0,1367.0,1548.0,733.0,166.0,321.0,79.0,1916.0,1091.0,946.0,1444.0,1076.0,696.0,1258.0,929.0,1076.0,1676.0,1796.0,1034.0,1295.0,881.0,1012.0,1065.0,1247.0,919.0,1263.0,1421.0,1542.0,865.0,1201.0,1413.0,1825.0,1589.0,1452.0,1224.0,1223.0,1314.0,1182.0,1351.0,2539.0,778.0,1428.0,880.0,1565.0,1277.0,1097.0,1053.0,745.0,980.0,1281.0,967.0,1038.0,1470.0,894.0,847.0
G70 SB (IK SB),승용차,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,17.0,10.0,20.0,21.0,22.0,21.0,5.0,33.0,12.0,27.0,2.0,8.0,0.0,13.0,39.0,7.0,16.0,10.0,20.0,30.0,11.0,5.0,8.0,0.0,1.0,0.0,20.0,8.0,8.0,11.0,13.0
G80 (RG3),승용차,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,2.0,0.0,15.0,0.0,4.0,10.0,0.0,2.0,18.0,31.0,1861.0,2156.0,137.0,445.0,297.0,654.0,755.0,665.0,616.0,835.0,250.0,345.0,498.0,479.0,232.0,519.0,823.0,406.0,445.0,601.0,440.0,1034.0,623.0,786.0,571.0,658.0,267.0,581.0,529.0,710.0,665.0,893.0,613.0,639.0,739.0,551.0,1097.0,634.0,694.0,673.0,104.0,683.0,730.0,584.0,510.0,664.0,582.0,529.0,699.0,453.0,693.0,372.0,490.0
G80 (RG3 EV),승용차,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,1.0,0.0,2.0,13.0,1.0,0.0,9.0,18.0,165.0,98.0,218.0,99.0,64.0,258.0,249.0,146.0,27.0,150.0,158.0,169.0,179.0,57.0,55.0,91.0,118.0,39.0,88.0,91.0,62.0,72.0,16.0,105.0,37.0,20.0,12.0,12.0,7.0,3.0,1.0,1.0,0.0,1.0,17.0
G90 (RS4),승용차,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0,0.0,1.0,42.0,177.0,359.0,260.0,248.0,168.0,117.0,316.0,207.0,136.0,136.0,206.0,130.0,82.0,69.0,252.0,119.0,273.0,240.0,171.0,259.0,44.0,107.0,165.0,237.0,307.0,198.0,148.0,153.0,140.0,138.0,184.0,144.0,151.0
