계정항목,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
인도네시아,728362,628550,753383,577685,657243,663315,608202,727401,741399,696140,689889,813773,721080,801251,856437,761782,779064,920815,692491,844779,801462,889874,734762,767164,842110,851217,846683,982353,821663,990609,919183,979988,1075052,1112403,930342,809589,896431,837420,745961,856863,715305,661052,727866,691679,700857,689177,620690,676472,682743,679343,755776,644139,553943,588365,711514,478444,601019,596970,627890,674552,724586,746846,764719,829827,710015,750260,1076989,1028246,945702,926588,925632,1295684,1377844,1058060,1530251,1250956,1319683,1064062,1425192,1436156,1412309,1192523,1156651,1511162,1395647,1243201,1100658,871189,941480,996697,715250,1095404,986087,797384,896620,1106283,1337312,1066652,1028617,1077470,1084435,814901,954868,1203103,1108236,986815,1032634,873922,1097137,984417
일본,3088241,3407324,4204131,3825931,3635641,3888942,3977492,4163665,4233798,4220758,4291368,4529300,3759196,4468456,5157589,4566854,4380630,4773364,4458763,4535866,4925623,4418583,4731861,4947939,4485213,4513249,5226141,4939589,4422428,4450259,4585406,4232368,4181051,4972817,4322176,4273053,4050305,3807446,4315381,4632881,3715764,3881638,4203610,3886997,3822451,3816086,3523164,3925130,3163260,3771979,4390046,3988576,3104978,3574091,3862249,3538571,3872130,3992664,4054282,4710209,3947395,4116807,4834352,4845079,3967898,4599343,4536865,4454302,4649135,4696430,4863816,5130742,4457192,4713195,5335420,4879908,4259692,4530262,4543697,4462975,4435942,4300343,4313252,4479917,3953682,4227698,4478961,4032396,3722640,4332565,3876242,3656641,3804958,3932137,3717928,3920619,3754292,3722010,4387229,4130088,3443508,3507812,4107327,3914328,4085601,4378169,3991893,4476472,3584619,4192912
중국,6895585,6028943,7299073,7100675,7058149,7215839,7006349,7376118,7233250,7708723,8105534,7951898,7962489,6600637,8825357,7913344,8091621,8351750,7769042,8116608,8443414,7932403,9253318,8600132,9156930,7598364,8412516,8720320,9279720,8713018,8869278,8525532,7889890,9963108,9852084,9507831,10338825,6583455,8804782,9793054,9943419,8656551,9392846,8312968,8197068,9215893,8966004,9023873,9428226,5553041,8955781,9626467,8993976,8925691,9184553,8259963,9166601,9622284,10286167,10881895,10763268,9021941,10884575,11517639,10874644,11423625,11524030,11731429,11409467,11984639,13663761,13829109,13178864,10410116,12626984,12332268,14515941,14158524,13823354,13501248,12677996,13411941,12129046,11810034,13140061,11025734,13189605,11794076,12379598,11799602,11172938,11688870,11143265,12549078,12087237,10887275,12396801,9426721,11407429,12424914,12287615,10938124,11942676,11482747,11219436,12513223,11445316,12382767,11201138,9479431
캐나다,391031,212474,268868,329002,318152,364398,360660,318396,339848,324142,335841,379730,465104,321576,464769,370028,473872,513512,321708,319245,525518,420982,348194,498085,467743,493571,445269,561993,473039,442705,474478,462586,436962,514073,407512,573350,542688,469947,462789,468238,471156,498128,443989,577336,409969,499270,503393,411758,278458,380693,376059,406217,377860,466184,379639,371371,359240,294630,334809,389534,378748,422395,529600,593816,650684,625302,406353,495560,552249,636707,640139,438224,579713,580338,877070,729333,797877,733176,751069,918425,863079,514561,626787,567539,460224,416095,696620,458249,741439,542368,418208,548152,405560,439504,512200,556007,594815,554845,698797,636788,424059,586288,553685,518503,685883,557844,547829,493392,533490,439839
태국,323204,359137,396792,352934,369076,391978,362370,431375,377662,391841,388741,417698,373837,405876,461702,437102,467291,456403,439451,469224,472367,395482,410239,415700,421222,409413,501177,492746,500028,521714,484899,478075,415187,516116,417534,424331,466518,420985,436829,499067,455992,481495,489135,402955,404788,453105,384252,422480,430110,445459,460703,420978,392692,436197,436803,391215,418809,445658,436479,481429,455623,495971,601984,582373,598401,651294,624971,601298,597923,580766,595871,628271,555686,671320,761291,723400,683648,720283,739350,708581,611543,592898,564487,544206,554790,611092,722129,589867,684943,688322,665275,603123,563927,567663,536154,579304,551771,554790,601679,635015,608561,620336,683549,618702,572159,574879,587340,564972,459837,609024
파나마,28586,54738,6613,36900,54541,35453,102887,2214,1866,7578,1591,6290,11080,11169,71223,4438,1902,11593,1193,8551,2111,1671,7186,9177,59125,1619,2105,39108,1594,1291,9895,6983,4591,8217,4351,14146,13095,2110,2118,12479,5599,3063,2135,16228,14513,5352,2569,7507,12361,53903,22522,10029,22903,609,1690,3524,89134,19535,33367,1965,51306,987,811,25074,2818,55476,100134,28018,28432,64600,51803,48485,30526,53998,36331,87458,4532,42857,101478,46763,35586,73274,16105,64584,52135,3129,31608,25969,43780,31449,25603,36124,23845,3078,23527,29112,12544,3753,2700,2014,1836,1592,16030,19592,50964,3275,2700,29961,2933,2345
프랑스,424318,352430,456237,478361,455646,443065,413179,456442,414254,764295,437722,747186,423534,428886,527309,452851,512150,535264,482408,504752,494587,416999,481637,485402,493857,569877,604867,474112,487447,465842,481618,464227,383178,476405,479556,498177,500788,400504,473057,517309,576153,450618,522981,494662,465689,480959,459132,492749,539168,421047,499318,436601,394930,456541,618355,491888,482618,507014,497964,535418,465159,450581,587406,553362,551812,566904,562885,566477,516521,648747,564888,607264,552366,595409,662188,591813,676971,632876,653339,627575,733175,596404,617421,764454,667032,600310,667660,717579,637588,637672,660019,620368,691847,799799,561171,804515,588417,544146,613426,640653,615879,733378,646420,808303,533787,648864,624684,1148761,482425,816162
필리핀,210686,255950,258926,292926,216446,258018,237702,261629,230594,326105,392085,287473,346314,305726,336503,264486,315323,288390,315306,314144,315797,318570,296461,285292,294178,261597,272632,253106,291775,248459,336467,262176,225188,303464,587522,232830,224601,261486,324883,359417,383131,377536,328980,291530,257691,303354,273031,272369,257011,236643,304817,205330,204003,239475,260593,213218,235531,305988,282265,341082,280757,246999,311912,297947,267901,285862,352739,361878,368925,363494,428682,326642,400283,391550,446631,349917,423785,403204,440027,459646,458819,524624,479568,399557,462396,401173,413624,335071,376977,378556,389091,381792,320073,410277,402983,373077,398092,397703,421856,465973,357150,314716,380005,357102,379433,385331,294058,279178,228922,271349
호주,1318055,1163476,1239927,1112357,1155431,1033077,1128182,1242459,1310972,1316648,1619106,1536180,1758902,1428354,1761164,1560836,1523843,1689537,1614132,1471233,1807136,1317970,1596610,1629993,1607055,1855028,1708572,1483407,1459849,1651997,1505767,1927225,1885362,1843900,2003320,1787158,2043828,1382631,1483663,1562612,1760505,1717384,1799034,2158989,1443034,1793847,1479839,1982870,1928577,1315474,1571817,1536407,1395909,1288294,1423646,1207179,1705440,1728019,1715033,1891325,1827010,2217456,2693118,2406133,2075597,2276419,3184507,2761561,3287105,2878302,3478892,3831862,3955418,3319970,4394022,2936619,3832748,3736348,4225125,4006709,3765504,3233994,3860935,3662003,4110352,3485093,2770419,2512287,2438869,2487239,2057423,2516679,2274175,2601078,2494499,3074843,3308582,2336243,2401773,2974887,2271405,2369197,1874732,2745505,2385734,2609725,2386186,2292308,2871222,2330709
홍콩,102010,130247,157355,154894,138936,150091,140527,133756,116255,109778,137319,143677,173534,112830,182018,142797,129528,129484,139129,147776,192327,141062,155680,233166,187696,164898,235193,171772,169694,151253,140124,162600,164734,138262,155745,155348,155371,126412,170408,178317,219682,109543,160270,138092,125629,120952,161674,113192,127274,129395,117348,150858,189348,108244,133119,141011,98767,85636,103143,156251,237069,160001,185057,164571,118045,160788,267293,154167,208245,194871,127361,269921,154529,133709,190361,163119,134978,165398,192917,175987,86844,191742,121792,166229,108797,96675,179947,238334,139214,151950,137573,114826,158123,193224,183056,130152,189043,222994,291246,376345,141282,91409,103876,235626,102315,127386,243694,131060,183342,450204
