차종,차량 유형,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
EQ900,승용차,수출,17.0,0.0,0.0,2.0,1.0,43.0,487.0,161.0,389.0,553.0,619.0,22658.0,224.0,428.0,567.0,502.0,447.0,485.0,586.0,342.0,376.0,376.0,525.0,6208.0,137.0,272.0,176.0,93.0,274.0,360.0,90.0,100.0,21.0,174.0,627.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,2.0,0.0,12.0,0.0,3503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G90,승용차,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,245.0,555.0,107.0,301.0,93.0,65.0,49.0,26.0,133.0,362.0,235.0,121.0,252.0,125.0,306.0,31.0,135.0,51.0,341.0,319.0,255.0,271.0,67.0,319.0,76.0,200.0,282.0,297.0,128.0,144.0,52.0,67.0,53.0,331.0,174.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Casper (AX),휴양용 차량,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kona (OS),휴양용 차량,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,19.0,13.0,1782.0,10967.0,7965.0,10719.0,13747.0,12494.0,9865.0,17511.0,16974.0,14103.0,17886.0,12964.0,17880.0,16073.0,18790.0,18913.0,17145.0,15763.0,12871.0,18805.0,19892.0,17987.0,16790.0,18679.0,16920.0,13513.0,25087.0,18675.0,17695.0,15392.0,8090.0,17262.0,9920.0,5441.0,15498.0,19461.0,6851.0,16354.0,18184.0,17655.0,16303.0,13315.0,15811.0,14540.0,13023.0,7996.0,8694.0,10395.0,11434.0,13378.0,13725.0,12041.0,12283.0,10691.0,9958.0,11442.0,10651.0,11205.0,5252.0,11062.0,9666.0,11144.0,11709.0,12681.0,14283.0,8347.0,9277.0,9179.0,8510.0,10064.0,6556.0,5088.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kona (OS HEV),휴양용 차량,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,471.0,3039.0,2409.0,2872.0,2729.0,3172.0,3611.0,2606.0,1840.0,3201.0,1740.0,2448.0,3285.0,3490.0,1113.0,1761.0,2694.0,3145.0,2677.0,3291.0,3083.0,3645.0,2341.0,1466.0,586.0,532.0,556.0,1171.0,1980.0,1316.0,2728.0,3844.0,2921.0,2964.0,1777.0,2873.0,1917.0,2667.0,3146.0,2566.0,2452.0,2820.0,2433.0,1668.0,2110.0,2261.0,2767.0,166.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kona (OS N),휴양용 차량,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20798.0,16130.0,21957.0,23796.0,21157.0,26919.0,21069.0,20814.0,11449.0,20548.0,21066.0,22748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,356.0,250.0,314.0,72.0,280.0,443.0,461.0,600.0,421.0,383.0,544.0,607.0,470.0,528.0,854.0,497.0,471.0,569.0,766.0,662.0,901.0,454.0,608.0,86.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tucson (TL),휴양용 차량,수출,11303.0,14657.0,18542.0,16340.0,15845.0,17651.0,15697.0,7663.0,8591.0,15254.0,17900.0,9.0,16930.0,19052.0,21692.0,21157.0,19627.0,23781.0,17857.0,7523.0,14386.0,15399.0,22299.0,0.0,17781.0,16358.0,21867.0,21835.0,18090.0,20253.0,17408.0,16662.0,15637.0,21223.0,22060.0,18963.0,20798.0,16130.0,21957.0,23796.0,21157.0,26919.0,21069.0,20814.0,11449.0,20548.0,21066.0,22748.0,14964.0,13026.0,20065.0,5358.0,3106.0,11645.0,21385.0,16225.0,15643.0,16529.0,14470.0,12117.0,10618.0,1233.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tucson (LMFC),휴양용 차량,수출,7.0,17.0,13.0,4.0,15.0,21.0,16.0,15.0,10.0,12.0,24.0,6159.0,31.0,31.0,8.0,22.0,13.0,34.0,8.0,13.0,5.0,7.0,0.0,2471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Fe (DM),휴양용 차량,수출,3340.0,3853.0,5603.0,4498.0,4971.0,5200.0,4498.0,3792.0,4092.0,4762.0,6586.0,6004.0,3374.0,4702.0,5690.0,5480.0,5353.0,5681.0,4637.0,100.0,665.0,3035.0,5063.0,570.0,3656.0,2258.0,949.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Fe (TM),휴양용 차량,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,13.0,593.0,4422.0,2997.0,2535.0,4542.0,4771.0,5328.0,6167.0,3244.0,4505.0,3376.0,3208.0,3345.0,3009.0,3986.0,4551.0,4146.0,2900.0,4090.0,3723.0,4071.0,3148.0,1888.0,3492.0,2226.0,943.0,2369.0,2487.0,514.0,1039.0,1547.0,5567.0,3396.0,4031.0,3671.0,3108.0,2803.0,2708.0,3050.0,2371.0,2011.0,2329.0,1938.0,2996.0,4365.0,2962.0,1959.0,1788.0,2437.0,2501.0,2516.0,2550.0,2468.0,2382.0,2626.0,3187.0,2492.0,1554.0,2003.0,2408.0,3513.0,3913.0,4445.0,3238.0,2710.0,80.0,4.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Fe (TM HEV),휴양용 차량,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,369.0,1387.0,406.0,423.0,1455.0,249.0,2331.0,1580.0,2047.0,668.0,1108.0,410.0,593.0,1375.0,948.0,966.0,814.0,910.0,897.0,681.0,1287.0,1425.0,1476.0,1227.0,1178.0,1475.0,950.0,586.0,1145.0,842.0,1296.0,1398.0,1121.0,1032.0,1186.0,995.0,499.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Fe (TM PHEV),휴양용 차량,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,286.0,426.0,1171.0,546.0,582.0,476.0,1142.0,934.0,886.0,1118.0,977.0,966.0,815.0,775.0,522.0,748.0,1076.0,1006.0,174.0,444.0,296.0,334.0,349.0,499.0,539.0,1317.0,1200.0,1257.0,1310.0,1848.0,1381.0,1108.0,823.0,408.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Fe (Long),휴양용 차량,수출,4674.0,4268.0,5441.0,4839.0,4275.0,4917.0,4640.0,2239.0,3112.0,4635.0,5646.0,5620.0,4814.0,5446.0,6056.0,5577.0,5880.0,6041.0,5507.0,3241.0,3500.0,2071.0,948.0,2877.0,819.0,223.0,287.0,282.0,160.0,787.0,2072.0,1889.0,2985.0,3661.0,4196.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
