CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
    기타,99,100,99,100,98,100,98,97,98,100,100,99,99,102,100,100,101,100,100,100,102,102,100,100,101,99,99,97,98,99,101,102,99,101,102,102,101,99,100,100,99,101,100,100,100,101,98,101,101,99,101,105,102,101,101,102,103,103,102,104,101,104,102,103,101,100,102,104,104,103,102,106,103,105,105,107,104,107,101,100,97,101,102,99,102,99,101,97,98,100,99,98,102,100,98,97,97,98,98,96,96,98,100,98,99,100,99,97,98,98
    100만원미만,104,102,104,102,101,103,104,100,106,104,98,99,108,105,100,101,102,101,99,103,104,105,104,101,105,103,104,100,104,103,103,107,102,97,104,102,101,99,99,99,97,98,98,100,100,102,100,103,100,99,102,106,105,102,101,104,100,104,106,106,106,105,103,110,106,109,108,107,111,109,106,111,108,113,110,110,104,108,98,93,98,101,103,100,102,98,105,94,101,100,100,97,103,101,101,99,97,98,100,94,95,100,102,99,98,103,99,98,98,98
    100-200만원,103,101,101,105,106,105,104,102,104,105,106,107,105,104,108,105,106,103,105,100,104,103,104,103,102,102,101,101,105,99,102,103,97,103,101,101,99,100,101,99,101,101,100,98,100,99,100,101,101,102,100,107,104,103,103,100,103,104,102,102,99,105,105,104,103,99,101,102,103,102,103,106,103,105,105,103,100,105,103,104,98,103,102,100,105,99,100,101,99,100,99,102,101,100,101,100,99,101,101,99,99,99,102,103,104,105,104,105,105,103
    200-300만원,102,98,99,100,96,102,100,101,101,100,101,99,101,102,104,103,99,102,102,100,98,98,97,100,99,102,97,101,97,101,99,102,102,104,104,104,102,103,101,100,101,104,105,101,100,101,100,98,102,100,104,104,104,102,104,103,108,102,100,103,103,105,103,104,104,103,105,105,101,103,103,104,100,105,105,104,105,107,103,105,104,105,104,101,106,102,100,101,99,98,100,101,102,103,102,102,101,100,100,100,100,100,100,101,98,100,99,98,98,97
    300-400만원,98,101,101,102,102,102,100,101,100,99,103,104,100,101,101,99,102,99,101,100,101,97,100,99,99,97,98,98,96,99,101,101,105,106,105,103,102,104,102,102,98,100,100,102,102,102,101,103,100,102,102,105,101,102,103,102,103,105,103,103,102,100,101,103,101,105,105,102,101,103,101,101,104,104,103,103,103,107,106,105,105,104,108,108,106,106,104,104,103,101,101,102,100,103,102,102,102,102,101,100,101,101,101,101,102,99,99,100,102,99
    400-500만원,98,100,102,101,99,97,98,97,97,94,99,98,95,95,96,95,95,94,96,96,96,92,96,98,96,95,96,97,96,96,95,93,99,100,101,98,99,97,100,95,95,97,97,98,99,100,97,98,99,98,96,100,97,99,98,95,98,95,97,99,98,97,97,101,97,100,98,99,99,98,99,98,97,97,97,97,99,99,104,99,100,99,101,103,101,102,103,99,102,102,99,100,101,97,98,97,98,99,98,99,100,98,97,100,97,99,100,103,96,99
    500만원이상,97,97,96,98,97,95,97,95,95,92,94,94,94,92,93,93,93,94,94,94,94,91,93,92,93,94,93,93,91,93,93,95,95,95,98,99,95,95,96,94,93,94,94,95,94,94,94,95,93,92,94,96,95,95,97,96,98,97,96,97,96,93,95,95,93,93,94,94,93,95,94,94,94,95,94,94,94,97,100,98,99,100,98,96,97,96,96,94,95,96,94,95,94,96,95,95,93,94,94,93,95,94,94,94,94,95,94,95,95,95
    자가,99,99,98,99,98,99,98,99,98,97,99,99,98,98,99,97,97,97,98,98,98,96,97,97,96,96,96,96,95,96,96,98,98,98,100,99,98,98,98,97,97,97,98,97,97,98,97,98,97,97,97,101,99,98,99,97,100,99,98,99,99,98,98,100,97,98,98,98,97,98,98,98,97,99,98,98,98,100,100,99,98,100,100,98,100,99,97,96,97,97,95,96,96,96,97,96,96,96,95,95,96,96,96,96,96,96,96,97,96,96
    임차 등,102,101,103,104,103,103,104,100,102,100,101,102,101,100,102,102,102,100,100,99,99,98,99,98,100,101,100,100,100,101,101,101,102,105,105,105,102,102,101,99,97,101,100,101,101,101,101,101,100,100,102,103,101,102,104,103,105,103,102,105,102,102,102,102,100,102,103,103,102,104,102,104,103,104,104,104,102,105,105,104,106,104,106,104,105,102,104,101,102,101,102,102,104,103,103,103,101,102,102,100,102,100,102,102,100,101,101,103,101,101
    서울,100,98,99,100,99,98,100,96,95,94,97,97,97,96,97,96,96,97,96,97,97,93,95,93,94,98,96,98,96,96,96,98,100,100,101,101,99,99,100,97,97,100,98,100,101,99,100,100,100,97,99,102,100,99,101,99,103,102,99,105,103,100,102,101,101,101,100,99,100,100,98,99,97,100,99,99,97,99,100,98,100,99,101,100,100,98,99,98,98,96,99,97,97,98,99,98,96,98,96,97,98,97,97,99,96,98,96,98,99,96
    6대광역시,102,103,102,103,103,101,101,103,102,102,103,101,103,102,102,100,99,99,100,100,100,98,99,100,99,101,98,99,97,100,99,100,101,102,103,103,100,101,101,99,100,99,100,100,100,101,101,101,101,100,102,105,104,103,103,101,102,102,102,102,102,100,99,101,99,101,101,102,98,101,101,101,101,102,101,101,102,103,104,102,102,101,104,104,103,100,102,100,101,100,99,100,101,100,99,100,98,100,98,97,97,97,99,99,97,97,99,100,98,98
    기타도시,98,98,99,100,99,100,99,98,100,98,99,100,98,98,99,99,99,98,100,97,98,97,98,98,98,96,97,96,96,97,98,99,99,99,101,100,99,98,98,97,96,97,97,97,97,97,95,97,97,96,97,99,97,98,99,98,101,99,97,98,98,98,98,100,97,98,99,98,98,99,99,99,98,100,99,99,99,102,102,101,100,103,102,99,102,101,99,97,98,99,97,98,98,99,99,98,98,97,98,97,99,98,98,98,98,99,97,98,97,98
