CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
    기타,91,91,91,91,92,91,93,92,92,93,91,87,89,88,87,88,89,91,91,91,90,90,92,90,88,88,89,89,91,91,89,88,84,87,81,82,84,83,84,84,83,85,81,83,84,86,86,85,84,86,78,75,79,79,80,82,78,81,85,82,81,81,80,82,84,85,84,84,83,88,85,84,84,85,84,85,82,81,81,82,86,84,84,86,84,85,83,87,88,89,92,89,89,87,88,89,89,88,89,90,88,88,87,88,87,91,89,87,86,87
    100만원미만,86,86,82,84,83,82,82,81,87,84,86,81,80,81,80,80,82,86,84,85,85,89,90,81,80,83,81,83,83,87,82,83,84,82,73,81,79,78,78,81,76,76,79,77,81,84,77,81,83,83,69,64,69,73,67,72,67,72,76,72,71,76,67,73,77,78,79,79,77,76,75,74,77,72,77,77,71,76,77,78,84,80,80,82,81,83,77,81,81,83,89,86,82,83,81,84,88,85,86,86,85,85,84,86,82,85,85,84,83,83
    100-200만원,88,91,90,88,91,92,92,89,88,89,84,83,83,85,83,83,90,92,91,92,86,89,89,94,93,85,89,88,87,90,90,87,85,87,85,85,87,88,87,90,88,88,88,87,86,84,89,88,86,89,82,73,80,78,83,83,80,80,86,79,82,80,83,82,81,87,84,82,81,87,85,82,84,88,84,84,82,81,79,83,83,83,83,87,85,82,85,87,86,88,86,89,87,87,85,86,86,83,85,83,84,87,87,85,86,90,84,83,84,84
    200-300만원,86,90,91,90,86,88,90,91,92,92,89,89,88,90,86,88,91,91,93,93,90,93,95,90,91,91,93,92,92,90,92,90,91,90,89,90,91,91,93,92,90,92,90,87,93,92,90,91,93,91,85,85,85,89,87,87,85,89,91,90,92,89,91,92,91,93,92,88,93,92,91,91,92,89,89,90,88,87,88,90,92,92,93,90,91,91,91,92,94,93,97,93,96,95,94,94,93,94,95,94,93,93,94,92,93,96,97,92,94,93
    300-400만원,95,93,93,92,92,91,90,93,94,93,92,93,93,91,95,94,93,98,96,98,97,99,99,97,98,97,94,99,96,95,96,95,91,89,91,91,94,91,87,95,94,93,92,92,90,90,93,94,95,93,90,88,87,88,88,89,86,88,94,91,91,90,91,93,94,93,93,93,92,92,91,91,92,94,95,95,92,87,87,90,89,89,87,88,87,85,91,91,91,93,96,93,97,92,93,93,93,96,93,97,91,97,95,97,96,97,97,91,94,92
    400-500만원,94,95,97,95,94,94,95,96,95,98,92,95,96,98,97,98,100,102,100,99,98,98,98,96,98,101,97,97,97,96,96,98,95,101,93,98,98,95,96,99,99,96,92,94,96,98,97,95,98,99,91,90,91,94,92,94,90,95,98,95,98,96,100,99,99,100,99,98,97,97,98,100,97,100,97,98,98,91,88,89,89,88,92,88,89,90,91,94,91,94,94,99,91,92,94,93,94,90,96,94,94,96,95,93,93,95,94,93,93,98
    500만원이상,101,97,102,101,99,101,101,102,102,100,99,98,97,99,103,102,103,104,105,104,103,102,106,105,104,104,105,102,104,102,101,98,103,101,99,101,104,104,103,106,105,105,103,101,104,102,102,104,107,103,101,97,97,101,102,101,101,103,105,104,105,107,107,109,109,109,108,109,108,106,108,109,109,108,107,107,107,103,94,95,99,94,95,96,97,98,100,102,101,101,101,99,100,99,99,100,103,104,103,102,102,103,102,102,101,105,103,102,102,104
    자가,91,92,93,93,92,92,93,94,94,93,91,91,91,91,92,93,95,96,97,96,95,96,98,96,96,96,97,95,97,95,94,92,94,92,89,91,93,92,92,95,93,94,92,91,92,93,93,94,95,93,88,84,86,89,89,91,87,90,93,92,93,93,94,95,96,97,96,95,95,96,96,96,97,97,96,97,95,92,86,88,91,88,87,88,89,90,91,93,93,93,95,94,94,92,92,93,94,95,95,93,94,96,94,94,93,97,96,92,93,95
    임차 등,97,95,96,94,93,94,95,95,96,96,93,92,93,95,95,94,96,99,98,99,95,97,97,97,97,96,94,97,94,96,98,97,94,97,94,97,100,97,97,101,99,97,96,97,99,98,97,98,101,100,94,92,92,94,95,93,94,96,100,95,97,97,96,100,100,99,99,99,99,97,98,98,98,98,98,98,96,93,93,94,94,93,96,94,94,94,95,98,97,99,99,97,99,98,97,98,99,98,100,101,96,99,99,99,99,102,100,98,100,100
    서울,98,97,99,98,96,97,96,98,97,100,96,95,94,97,95,96,95,98,99,96,94,97,97,100,100,98,96,97,97,100,96,94,97,98,93,98,100,99,99,101,99,100,94,97,98,96,96,97,98,99,92,91,92,92,95,95,93,94,96,93,94,96,95,97,97,100,99,97,98,98,98,99,98,100,98,100,97,95,91,94,95,92,93,92,92,93,93,95,96,98,99,97,97,96,95,94,97,98,100,97,95,96,98,97,96,100,99,98,98,99
    6대광역시,88,91,90,88,88,88,89,89,92,90,88,89,88,89,90,90,93,95,95,94,96,95,96,93,93,92,95,93,93,90,93,92,91,90,88,88,92,90,89,92,90,90,90,90,91,91,93,94,95,93,88,85,84,89,88,88,87,88,93,91,90,91,94,94,96,95,96,92,94,94,94,95,95,95,95,94,94,90,90,89,92,89,90,89,91,91,92,94,93,93,95,94,93,94,92,95,94,94,95,95,94,97,94,94,96,98,96,93,94,95
    기타도시,93,92,94,94,93,93,94,95,95,94,92,91,92,93,94,94,97,98,97,99,95,97,99,96,97,98,97,97,97,96,96,94,94,93,92,94,95,93,93,97,96,96,95,93,95,95,94,95,98,96,91,86,89,92,91,92,89,93,97,94,96,95,96,98,97,98,96,98,97,98,98,97,97,97,97,98,96,93,87,89,91,89,90,91,91,91,93,95,95,95,97,96,96,94,95,95,96,96,96,96,96,97,96,96,95,98,97,94,95,97
